#R
886,634,489,424,424,489,634,886
713,489,363,307,307,363,489,713
634,424,307,256,256,307,424,634
634,424,307,256,256,307,424,634
713,489,363,307,307,363,489,713
886,634,489,424,424,489,634,886

#GR
886,634,489,424,424,489,634,886
713,489,363,307,307,363,489,713
634,424,307,256,256,307,424,634
634,424,307,256,256,307,424,634
713,489,363,307,307,363,489,713
886,634,489,424,424,489,634,886

#GB
886,634,489,424,424,489,634,886
713,489,363,307,307,363,489,713
634,424,307,256,256,307,424,634
634,424,307,256,256,307,424,634
713,489,363,307,307,363,489,713
886,634,489,424,424,489,634,886

#B
886,634,489,424,424,489,634,886
713,489,363,307,307,363,489,713
634,424,307,256,256,307,424,634
634,424,307,256,256,307,424,634
713,489,363,307,307,363,489,713
886,634,489,424,424,489,634,886
