#R,,,,,,,
545,545,545,545,545,545,545,545
545,545,545,545,545,545,545,545
545,545,545,545,545,545,545,545
545,545,545,545,545,545,545,545
545,545,545,545,545,545,545,545
545,545,545,545,545,545,545,545
,,,,,,,
#GR,,,,,,,
256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256
,,,,,,,
#GB,,,,,,,
256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256
256,256,256,256,256,256,256,256
,,,,,,,
#B,,,,,,,
494,494,494,494,494,494,494,494
494,494,494,494,494,494,494,494
494,494,494,494,494,494,494,494
494,494,494,494,494,494,494,494
494,494,494,494,494,494,494,494
494,494,494,494,494,494,494,494
